game_date,pts,team1-1-power-forward,team1-1-point-guard,team1-1-shooting-guard,team1-1-small-forward,team1-1-center,team1-1-power-forward-exp,team1-1-point-guard-exp,team1-1-shooting-guard-exp,team1-1-small-forward-exp,team1-1-center-exp,team1-2-power-forward,team1-2-point-guard,team1-2-shooting-guard,team1-2-small-forward,team1-2-center,team1-2-power-forward-exp,team1-2-point-guard-exp,team1-2-shooting-guard-exp,team1-2-small-forward-exp,team1-2-center-exp,team2-1-power-forward,team2-1-point-guard,team2-1-shooting-guard,team2-1-small-forward,team2-1-center,team2-1-power-forward-exp,team2-1-point-guard-exp,team2-1-shooting-guard-exp,team2-1-small-forward-exp,team2-1-center-exp,team2-2-power-forward,team2-2-point-guard,team2-2-shooting-guard,team2-2-small-forward,team2-2-center,team2-2-power-forward-exp,team2-2-point-guard-exp,team2-2-shooting-guard-exp,team2-2-small-forward-exp,team2-2-center-exp,team2,team1
2022,103,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,GSW
2022,90,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,BOS
2022,104,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,GSW
2022,94,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,BOS
2022,107,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,GSW
2022,97,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,BOS
2022,100,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,GSW
2022,116,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,BOS
2022,107,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,GSW
2022,88,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,BOS
2022,108,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,GSW
